date,congestion_index,traffic_volume,average_speed,is_outlier,year,month,day,dayofweek,is_weekend,is_holiday,season
2019-01-01,52.483570765056164,2319.2596278539745,37.87293712710853,False,2019,1,1,1,0,1,cool
2019-01-02,49.48081205570242,2570.0358631910713,45.85829580467087,False,2019,1,2,2,0,0,cool
2019-01-03,53.58265880673092,2274.518525254863,38.41643497971143,False,2019,1,3,3,0,0,cool
2019-01-04,58.13134595427267,2753.0217778592887,40.519918481688855,False,2019,1,4,4,0,0,cool
2019-01-05,49.51725739440652,2427.7172685810174,41.17774721258484,False,2019,1,5,5,1,0,cool
2019-01-06,49.688963202628564,2566.021370795802,40.356177307993626,False,2019,1,6,6,1,0,cool
2019-01-07,58.9270810520113,2587.588083543459,39.71437781693723,False,2019,1,7,0,0,0,cool
2019-01-08,55.03925409475807,2484.2814187289905,36.34160593377967,False,2019,1,8,1,0,0,cool
2019-01-09,49.02541579145789,2658.5223919290343,44.25810716615986,False,2019,1,9,2,0,0,cool
2019-01-10,54.25588842457264,2451.311914874779,45.30181658755063,False,2019,1,10,3,0,0,cool
2019-01-11,49.395842977752466,2725.647402745892,34.80422498519255,False,2019,1,11,4,0,0,cool
2019-01-12,49.55361833058116,2287.2720769036237,36.74917028602087,False,2019,1,12,5,1,0,cool
2019-01-13,53.26085635651636,2586.8072658698684,38.94796977253813,False,2019,1,13,6,1,0,cool
2019-01-14,42.65281390675266,2954.3622537129067,36.85703193784138,False,2019,1,14,0,0,0,cool
2019-01-15,43.762138497494334,2371.5355648806703,41.228897179197105,False,2019,1,15,1,0,0,cool
2019-01-16,49.742095304957004,2441.0569944298854,37.48366152883294,False,2019,1,16,2,0,0,cool
2019-01-17,47.65542597366893,2684.369017192015,46.1182589779613,False,2019,1,17,3,0,0,cool
2019-01-18,54.45606099178246,2622.461086252102,43.14649766658118,False,2019,1,18,4,0,0,cool
2019-01-19,48.50909186895683,2661.602387251599,40.161497849200614,False,2019,1,19,5,1,0,cool
2019-01-20,46.15117811024719,2694.218324537242,42.55083632071995,False,2019,1,20,6,1,0,cool
2019-01-21,60.703472840548905,2728.201163590588,42.730874448200396,False,2019,1,21,0,0,0,cool
2019-01-22,52.40787971933104,2828.0428050441565,37.661837028956754,False,2019,1,22,1,0,0,cool
2019-01-23,54.03488645234635,2692.8810942529044,36.84276238040585,False,2019,1,23,2,0,0,cool
2019-01-24,46.73289313136879,2567.447490949374,39.460824677313816,False,2019,1,24,3,0,0,cool
2019-01-25,51.29296626943382,2754.9611370023385,41.743551256166704,False,2019,1,25,4,0,0,cool
2019-01-26,54.726548974672504,3005.134467762738,39.50535756935528,False,2019,1,26,5,1,0,cool
2019-01-27,48.5727880383928,2603.3059284886144,34.28402739474585,False,2019,1,27,6,1,0,cool
2019-01-28,56.36078350913247,2439.562941587995,36.530712633340045,False,2019,1,28,0,0,0,cool
2019-01-29,51.632309259434486,2860.48121512825,38.63878762455825,False,2019,1,29,1,0,0,cool
2019-01-30,53.3288696521915,2619.543919244017,38.55260403403139,False,2019,1,30,2,0,0,cool
2019-01-31,51.92922244045279,2213.598755845186,44.61352042383553,False,2019,1,31,3,0,0,cool
2019-02-01,64.34810036106573,2822.0856185857156,34.45164633169295,False,2019,2,1,4,0,0,cool
2019-02-02,55.166669949965836,2549.9590450188807,40.03754293652072,False,2019,2,2,5,1,0,cool
2019-02-03,50.091497070603495,2643.2948950006576,42.896754698532696,False,2019,2,3,6,1,0,cool
2019-02-04,59.637077692192136,2732.126660064089,45.149906954654085,False,2019,2,4,0,0,0,cool
2019-02-05,49.56279931305607,2708.1104628431485,37.02603778802366,False,2019,2,5,1,0,0,cool
2019-02-06,56.85232070956179,2816.1304454639485,39.614749293242774,False,2019,2,6,2,0,0,cool
2019-02-07,46.14891625020876,2591.3207319742605,39.748560689924155,False,2019,2,7,3,0,0,cool
2019-02-08,49.44383845665911,2785.1642206697543,38.52216128418135,False,2019,2,8,4,0,0,cool
2019-02-09,57.20477366375429,2634.704689015477,37.53326543305271,False,2019,2,9,5,1,0,cool
2019-02-10,60.046655908878826,2838.391786444554,39.02949201349178,False,2019,2,10,6,1,0,cool
2019-02-11,57.343137016299664,2817.6623651131054,30.01430433094869,False,2019,2,11,0,0,0,cool
2019-02-12,56.03810477048158,2511.4026450637643,39.54447248223358,False,2019,2,12,1,0,0,cool
2019-02-13,55.23891771038301,2919.52950888489,37.761797251016965,False,2019,2,13,2,0,0,cool
2019-02-14,49.47791772039953,2598.9231411442906,36.59865055735086,False,2019,2,14,3,0,0,cool
2019-02-15,53.39536222854293,2871.4490577717233,43.28732044758828,False,2019,2,15,4,0,0,cool
2019-02-16,54.813372368018804,2786.9544493648004,35.00047268531991,False,2019,2,16,5,1,0,cool
2019-02-17,62.5220515140537,3084.729946847798,35.69250591523463,False,2019,2,17,6,1,0,cool
2019-02-18,59.07226167748216,2675.9319104148253,42.75080779708109,False,2019,2,18,0,0,0,cool
2019-02-19,48.654520100151885,2654.228267085327,34.152370065093294,False,2019,2,19,1,0,0,cool
2019-02-20,59.2034779317596,2723.607821366022,34.86864410997751,False,2019,2,20,2,0,0,cool
2019-02-21,55.76873686675779,2670.1884914983266,35.946417950222724,False,2019,2,21,3,0,0,cool
2019-02-22,54.41834850917796,2894.077135709643,38.776309176241114,False,2019,2,22,4,0,0,cool
2019-02-23,60.96783801177211,2414.0215753397156,36.74227153474718,False,2019,2,23,5,1,0,cool
2019-02-24,63.16860849422652,2529.671842623132,32.103933102602376,False,2019,2,24,6,1,0,cool
2019-02-25,62.7717911856546,2529.9011333863696,34.24647604690212,False,2019,2,25,0,0,0,cool
2019-02-26,54.018677916910946,2936.5044843854394,33.88035962728124,False,2019,2,26,1,0,0,cool
2019-02-27,56.76564438440201,3091.473862426127,35.328511230901306,False,2019,2,27,2,0,0,cool
2019-02-28,60.0625012133626,2731.295677982849,36.69380918244931,False,2019,2,28,3,0,0,cool
2019-03-01,63.37589655088708,2721.1807828202564,36.52539435408764,False,2019,3,1,4,0,0,dry
2019-03-02,56.19176839353158,2771.639620105377,29.79567885913903,False,2019,3,2,5,1,0,dry
2019-03-03,57.746268663976885,2992.612566940517,38.16695585175438,False,2019,3,3,6,1,0,dry
2019-03-04,53.227242181412294,2577.2968847051584,35.58278395560205,False,2019,3,4,0,0,0,dry
2019-03-05,52.859641979030286,2812.894049529966,38.82718831436175,False,2019,3,5,1,0,0,dry
2019-03-06,62.98244257656648,2962.6339298943503,35.85331702119506,False,2019,3,6,2,0,0,dry
2019-03-07,65.77750883937655,2870.108094883642,37.67048119276793,False,2019,3,7,3,0,0,dry
2019-03-08,58.71008752012469,2810.0204671605393,35.61064464231127,False,2019,3,8,4,0,0,dry
2019-03-09,64.15894437131345,2974.4476149690286,38.09293455220822,False,2019,3,9,5,1,0,dry
2019-03-10,61.01789300240452,2235.6449277151432,35.463056403361215,False,2019,3,10,6,1,0,dry
2019-03-11,56.04981806276634,2913.8375689799404,33.443451408575974,False,2019,3,11,0,0,0,dry
2019-03-12,61.145350315771324,2649.336032021393,40.3942865496719,False,2019,3,12,1,0,0,dry
2019-03-13,67.0887434117488,2415.8302380112773,36.08281905851823,False,2019,3,13,2,0,0,dry
2019-03-14,59.276833678721665,2885.9194361331392,34.97465411013304,False,2019,3,14,3,0,0,dry
2019-03-15,67.33378344202157,3060.0486639211376,29.261256694134467,False,2019,3,15,4,0,0,dry
2019-03-16,46.46362274547033,2759.380745052033,29.06108050394287,False,2019,3,16,5,1,0,dry
2019-03-17,63.720810360599124,2978.913844602278,33.63911617740025,False,2019,3,17,6,1,0,dry
2019-03-18,60.0926347177394,3112.1776328941855,33.031681564002724,False,2019,3,18,0,0,0,dry
2019-03-19,58.20560246618573,3054.0020672722617,30.58612952593441,False,2019,3,19,1,0,0,dry
2019-03-20,60.19980843440172,3120.2230424260047,32.68410495391906,False,2019,3,20,2,0,0,dry
2019-03-21,49.84063884205211,2941.7800006660755,36.85902724376127,False,2019,3,21,3,0,0,dry
2019-03-22,58.71470526352853,2809.4786688618015,34.010723243359195,False,2019,3,22,4,0,0,dry
2019-03-23,61.63030102507965,2474.948982646194,28.332289374956066,False,2019,3,23,5,1,0,dry
2019-03-24,67.26296464764744,2746.9923350922063,31.251067369602517,False,2019,3,24,6,1,0,dry
2019-03-25,57.307973859505296,2628.330429462968,29.00050350961275,False,2019,3,25,0,0,0,dry
2019-03-26,55.87975407971338,3231.8552063249426,30.08169288964221,False,2019,3,26,1,0,0,dry
2019-03-27,57.43339385101684,2763.0882095817183,29.832966469752705,False,2019,3,27,2,0,0,dry
2019-03-28,64.53620054998217,2823.416660201051,29.469579352498396,False,2019,3,28,3,0,0,dry
2019-03-29,61.617005279379974,2909.4945671405403,26.96554518306059,False,2019,3,29,4,0,0,dry
2019-03-30,57.33555319272045,2808.25111562116,30.176205856451464,False,2019,3,30,5,1,0,dry
2019-03-31,62.55883727796361,3138.7852114580555,28.705399898379817,False,2019,3,31,6,1,0,dry
2019-04-01,60.48307276653911,2675.400678247077,21.426814904355417,False,2019,4,1,0,0,0,dry
2019-04-02,64.84313235002635,2838.9187129683055,36.201951456467434,False,2019,4,2,1,0,0,dry
2019-04-03,56.488901117160616,2651.480880456812,33.137206001899926,False,2019,4,3,2,0,0,dry
2019-04-04,58.357152073884734,2535.859381962066,28.56989477675593,False,2019,4,4,3,0,0,dry
2019-04-05,58.02825639018955,2677.310096494453,29.583243265997478,False,2019,4,5,4,0,0,dry
2019-04-06,52.661596867993325,2791.967788849935,25.83995246355415,False,2019,4,6,5,1,0,dry
2019-04-07,61.44719040286458,2713.137225622799,34.27040468012837,False,2019,4,7,6,1,0,dry
2019-04-08,61.256329471906426,2660.047397355438,34.70366469699062,False,2019,4,8,0,0,0,dry
2019-04-09,59.95813577588645,2516.7135620458575,29.31073518878457,False,2019,4,9,1,0,0,dry
2019-04-10,58.73820497305881,2780.7131046722975,31.740444867214077,False,2019,4,10,2,0,0,dry
2019-04-11,52.80992219207133,2495.6592022635014,29.025306353355244,False,2019,4,11,3,0,0,dry
2019-04-12,57.756254885811515,2947.7956377270693,24.319307428351017,False,2019,4,12,4,0,0,dry
2019-04-13,58.115692937165974,2811.3659161808955,26.924546376532227,False,2019,4,13,5,1,1,dry
2019-04-14,55.7847505703468,2502.373807600661,28.386878349009518,False,2019,4,14,6,1,1,dry
2019-04-15,58.953676947993635,2730.9613497797377,26.45912453980435,False,2019,4,15,0,0,1,dry
2019-04-16,61.74143625036331,2641.2041778706016,26.999126271990793,False,2019,4,16,1,0,0,dry
2019-04-17,69.11030733629329,2854.216236991055,27.213900688624463,False,2019,4,17,2,0,0,dry
2019-04-18,60.507594549800686,3057.1312537738736,27.079221454781873,False,2019,4,18,3,0,0,dry
2019-04-19,60.874930123486784,2412.58085116704,27.313183598682414,False,2019,4,19,4,0,0,dry
2019-04-20,59.16458038747363,2809.1095148186173,23.809986724453523,False,2019,4,20,5,1,0,dry
2019-04-21,49.889759723626504,2752.4819148903234,24.67703866672513,False,2019,4,21,6,1,0,dry
2019-04-22,59.29504205665812,2917.0963583072194,22.811559413718225,False,2019,4,22,0,0,0,dry
2019-04-23,59.66996451265945,2823.7037295361674,29.43697209654632,False,2019,4,23,1,0,0,dry
2019-04-24,71.62344987280622,2628.82331296363,20.025833939506338,False,2019,4,24,2,0,0,dry
2019-04-25,58.281102398025325,2713.4764295246046,29.64387882728419,False,2019,4,25,3,0,0,dry
2019-04-26,60.683572972262,2616.06991645712,30.183620048962972,False,2019,4,26,4,0,0,dry
2019-04-27,58.93248745241594,2988.382816747984,24.960672161223094,False,2019,4,27,5,1,0,dry
2019-04-28,53.19016783514919,2775.269070431794,17.90166935739327,False,2019,4,28,6,1,0,dry
2019-04-29,64.6725069799242,3148.9899243710743,24.472286533051996,False,2019,4,29,0,0,0,dry
2019-04-30,62.6402383897288,2754.285034025924,25.210120121612505,False,2019,4,30,1,0,0,dry
2019-05-01,62.75528177495059,2622.322307809968,22.21869461954276,False,2019,5,1,2,0,1,dry
2019-05-02,54.17012591311952,2458.7690170902315,23.55405815428468,False,2019,5,2,3,0,0,dry
2019-05-03,65.6453928351796,2398.3147031637845,29.54097504937485,False,2019,5,3,4,0,0,dry
2019-05-04,51.533966383536864,2439.46946232385,26.797343365350066,False,2019,5,4,5,1,0,dry
